cell_id,lat_idx,lon_idx,lat_center,lon_center,year,count
9_10,9,10,43.0,143.0,2004,32
9_10,9,10,43.0,143.0,2005,21
9_10,9,10,43.0,143.0,2006,25
9_10,9,10,43.0,143.0,2007,20
9_10,9,10,43.0,143.0,2008,18
9_10,9,10,43.0,143.0,2009,15
9_10,9,10,43.0,143.0,2010,13
9_10,9,10,43.0,143.0,2011,24
9_10,9,10,43.0,143.0,2012,19
9_10,9,10,43.0,143.0,2013,21
9_10,9,10,43.0,143.0,2014,17
9_10,9,10,43.0,143.0,2015,23
9_10,9,10,43.0,143.0,2016,23
9_10,9,10,43.0,143.0,2017,11
9_10,9,10,43.0,143.0,2018,39
9_10,9,10,43.0,143.0,2019,21
9_10,9,10,43.0,143.0,2020,20
9_10,9,10,43.0,143.0,2021,20
9_10,9,10,43.0,143.0,2022,19
9_10,9,10,43.0,143.0,2023,26
9_11,9,11,43.0,145.0,2000,19
9_11,9,11,43.0,145.0,2001,13
9_11,9,11,43.0,145.0,2002,15
9_11,9,11,43.0,145.0,2003,81
9_11,9,11,43.0,145.0,2004,84
9_11,9,11,43.0,145.0,2005,37
9_11,9,11,43.0,145.0,2006,27
9_11,9,11,43.0,145.0,2007,14
9_11,9,11,43.0,145.0,2008,24
9_11,9,11,43.0,145.0,2009,9
9_11,9,11,43.0,145.0,2010,14
9_11,9,11,43.0,145.0,2011,12
9_11,9,11,43.0,145.0,2012,10
9_11,9,11,43.0,145.0,2013,13
9_11,9,11,43.0,145.0,2014,21
9_11,9,11,43.0,145.0,2015,24
9_11,9,11,43.0,145.0,2016,15
9_11,9,11,43.0,145.0,2017,14
9_11,9,11,43.0,145.0,2018,21
9_11,9,11,43.0,145.0,2019,16
9_11,9,11,43.0,145.0,2020,29
9_11,9,11,43.0,145.0,2021,27
9_11,9,11,43.0,145.0,2022,26
9_11,9,11,43.0,145.0,2023,21
9_12,9,12,43.0,147.0,2000,26
9_12,9,12,43.0,147.0,2001,30
9_12,9,12,43.0,147.0,2002,27
9_12,9,12,43.0,147.0,2003,21
9_12,9,12,43.0,147.0,2004,26
9_12,9,12,43.0,147.0,2005,32
9_12,9,12,43.0,147.0,2006,25
9_12,9,12,43.0,147.0,2007,30
9_12,9,12,43.0,147.0,2008,28
9_12,9,12,43.0,147.0,2009,16
9_12,9,12,43.0,147.0,2010,16
9_12,9,12,43.0,147.0,2011,18
9_12,9,12,43.0,147.0,2012,10
9_12,9,12,43.0,147.0,2013,13
